date, pm25, pm10, o3, no2, so2, co
2024/6/17, , 99, 99, , 3, 10
2024/6/18, , 89, 91, , 8, 9
2024/6/19, , 55, 110, , 4, 5
2024/6/20, , 38, 63, , 2, 2
2024/6/21, , 38, , , , 
2024/6/24, , 48, 71, , 3, 3
2024/6/25, , 45, 74, , 5, 1
2024/6/26, , 38, 66, , 2, 7
2024/6/27, , 32, 77, , 3, 5
2024/6/28, , 32, 72, , 2, 2
2024/6/29, , 41, 62, , 3, 2
2024/6/30, , 44, 90, , 3, 8
2024/1/1, , 94, 21, , 30, 37
2024/1/2, , 78, 34, , 34, 22
2024/1/3, , 64, 44, , 18, 4
2024/1/4, , 29, 19, , 27, 18
2024/1/5, , 86, 28, , 21, 11
2024/1/6, , 53, 37, , 32, 10
2024/1/7, , 54, 18, , 44, 12
2024/1/8, , 84, 31, , 29, 9
2024/1/9, , 54, 22, , 29, 12
2024/1/10, , 60, 27, , 35, 13
2024/1/11, , 81, 44, , 34, 18
2024/1/12, , 62, 52, , , 11
2024/1/13, , 21, 40, , , 6
2024/1/14, , 31, 34, , 91, 5
2024/1/15, , 31, 39, , 39, 9
2024/1/16, , 28, 25, , 21, 9
2024/1/17, , 47, 27, , 26, 9
2024/1/18, , 73, 34, , 19, 13
2024/1/19, , 61, 42, , 14, 5
2024/1/20, , 40, 31, , 15, 9
2024/1/21, , 59, 27, , 30, 5
2024/1/22, , 71, 18, , 58, 17
2024/1/23, , 95, 23, , 41, 12
2024/1/24, , 78, 15, , 46, 15
2024/1/25, , 99, 32, , 33, 9
2024/1/26, , 58, 37, , 29, 8
2024/1/27, , 59, 25, , 49, 12
2024/1/28, , 91, 28, , 59, 12
2024/1/29, , 79, 22, , 38, 14
2024/1/30, , 85, 37, , 32, 10
2024/1/31, , 39, 43, , 31, 12
2024/2/1, , 42, 30, , 38, 12
2024/2/2, , 74, 45, , 27, 9
2024/2/3, , 52, 56, , 14, 6
2024/2/4, , 24, 44, , 17, 8
2024/2/5, , 38, 29, , 35, 13
2024/2/6, , 75, 46, , 27, 6
2024/2/7, , 52, 40, , 28, 7
2024/2/8, , 55, 38, , 37, 11
2024/2/9, , 71, 33, , 41, 15
2024/2/10, , 95, 30, , 41, 1
2024/2/11, , 64, 29, , 47, 9
2024/2/12, , 80, 55, , 11, 5
2024/2/13, , 26, 45, , 7, 18
