date, pm25, pm10, o3, no2, so2, co
2023/11/12, 201, 134, 7, 50, 44, 31
2023/11/13, 199, 131, 6, 44, 35, 28
2023/11/14, 171, 123, 8, 33, 38, 25
2023/11/15, 81, 68, 15, 14, 20, 17
2023/11/16, 117, 80, 12, 20, 15, 15
2023/11/17, 162, 93, 8, 36, 23, 20
2023/11/18, 211, 131, 8, 50, 30, 35
2023/11/19, 197, 115, 9, 57, 29, 28
2023/11/20, 207, 160, 2, 59, 44, 35
2023/11/21, 106, 73, 5, 24, 16, 13
2023/11/22, 32, 30, 26, 11, 7, 5
2023/11/23, 144, 99, 18, 20, 27, 14
2023/11/24, 124, 92, 13, 16, 26, 17
2023/11/25, 82, 74, 17, 22, 17, 11
2023/11/26, 123, 112, 10, 25, 30, 12
2023/11/27, 75, 48, 30, 13, 7, 7
2023/11/28, 82, 58, 28, 14, 14, 15
2023/11/29, 83, 43, 27, 17, 13, 12
2023/11/30, 197, 134, 11, 42, 56, 32
2023/12/1, 252, 126, 5, 69, 46, 38
2023/12/2, 236, 148, 6, 59, 56, 42
2023/12/3, 208, 148, 15, 35, 50, 28
2023/12/4, 180, 118, 8, 65, 39, 25
2023/12/5, 59, 86, 20, 10, 13, 16
2023/12/6, 175, 101, 12, 40, 30, 18
2023/12/7, 139, 105, 16, 50, 40, 29
2023/12/8, 72, 43, 18, 14, 8, 6
2023/12/9, 160, 98, 10, 25, 29, 16
2023/12/12, 119, 109, 10, 28, 44, 19
2023/12/13, 135, 99, 9, 21, 38, 20
2023/12/14, 85, 55, 17, 12, 16, 17
2023/12/15, 104, 65, 21, 20, 22, 12
2023/12/16, 194, 113, 13, 25, 65, 10
2023/12/17, 183, 116, 13, 21, 66, 20
2023/12/18, 89, 72, 22, 13, 28, 13
2023/12/19, 158, 107, 11, 27, 39, 15
2023/12/20, 191, 141, 12, 37, 56, 26
2023/12/21, 255, 131, 9, 50, 96, 26
2023/12/22, 314, 181, 5, 58, 96, 27
2023/12/23, 271, 232, 3, 76, 110, 40
