date, pm25, pm10, no2, so2, co
2023/11/7, 75, 81, 28, 2, 7
2023/11/8, 18, , 31, 6, 9
2023/11/9, 45, 154, 36, 18, 19
2023/11/10, 119, , 36, 13, 18
2023/11/11, 101, , 45, 30, 19
2023/11/12, 113, , 46, 32, 26
2023/11/13, 137, , 45, 28, 23
2023/11/14, 134, , 36, 12, 10
2023/11/15, 41, 167, 34, 5, 8
2023/11/16, 27, 95, 38, 18, 19
2023/11/17, 106, 162, 51, 26, 37
2023/11/18, 170, 164, 40, 23, 26
2023/11/19, 123, 183, 45, 32, 30
2023/11/20, 157, , 38, 8, 11
2023/11/21, 44, , 19, 2, 5
2023/11/22, 23, , 37, 27, 16
2023/11/23, 110, , 31, 22, 15
2023/11/24, 84, , 28, 7, 7
2023/11/25, 30, , 36, 15, 11
2023/11/26, 68, , 31, 7, 8
2023/11/27, 42, , 35, 12, 14
2023/11/28, 75, 43, 35, 7, 8
2023/11/29, 39, 115, 43, 25, 27
2023/11/30, 125, 119, 53, 46, 38
2023/12/1, 204, 155, 46, 40, 35
2023/12/2, 177, 170, 48, 40, 33
2023/12/3, 175, 151, 44, 30, 27
2023/12/4, 129, 74, 31, 13, 10
2023/12/5, 47, 78, 45, 25, 20
2023/12/6, 115, 150, 46, 36, 23
2023/12/7, 126, 87, 25, 6, 7
2023/12/8, 78, , 28, 25, 15
2023/12/9, 123, , 27, 19, 13
2023/12/10, 89, , 27, 17, 8
2023/12/11, 45, , 30, 21, 16
2023/12/12, 96, , 31, 16, 11
2023/12/13, 56, 30, 27, 19, 11
2023/12/14, 85, 46, 27, 12, 9
2023/12/15, 73, 101, 37, 34, 20
2023/12/16, 146, 94, 32, 37, 19
2023/12/17, 141, 45, 27, 17, 9
2023/12/18, 66, 93, 36, 34, 20
2023/12/19, 154, 59, 34, 16, 11
2023/12/20, 106, 94, 35, 34, 17
2023/12/21, 145, 107, 44, 41, 22
2023/12/22, 155, 121, 43, 48, 23
2023/12/23, 170, 113, 42, 54, 19
2023/12/24, 151, 117, 45, 44, 24
2023/12/25, 207, 65, 35, 16, 17
2023/12/26, 98, 82, 41, 30, 20
2023/12/27, 126, 82, 43, 35, 21
2023/12/28, 121, 72, 44, 31, 20
2023/12/29, 108, 44, 39, 12, 12
2023/12/30, 60, 37, 36, 25, 9
2023/12/31, 41, 129, 45, 37, 32
2023/7/1, 14, 37, 24, 1, 6
2023/7/2, 13, 33, 30, , 6
2023/7/3, 14, 17, 31, , 6
2023/7/4, 13, 23, 26, 1, 6
2023/7/5, 13, 25, 20, 1, 4
2023/7/6, 11, 43, 27, 2, 3
2023/7/7, 34, 54, 27, , 3
2023/7/8, 18, , , , 
2023/7/16, 16, 23, 28, 4, 5
2023/7/17, 14, 94, 19, 1, 4
2023/7/18, 14, 43, 22, 5, 5
2023/7/19, 18, 57, 25, 4, 4
2023/7/20, 18, 51, 28, 4, 4
2023/7/21, 21, 110, 28, 1, 4
2023/7/22, 15, 54, 27, , 5
2023/7/23, 19, 79, 30, 2, 6
2023/7/24, 15, 99, 31, 7, 4
2023/7/25, 24, 85, 26, 3, 4
2023/7/26, 16, 59, 28, 4, 5
2023/7/27, 17, 57, 29, 4, 4
2023/7/28, 24, 54, 28, 3, 4
2023/7/29, 17, 53, 28, 2, 4
2023/7/30, 16, 73, 32, 3, 6
2023/7/31, 17, 76, 28, 3, 5
2023/8/1, 17, 48, 24, 1, 5
2023/8/2, 22, 97, 23, 1, 5
2023/8/3, 17, 54, 24, 2, 6
2023/8/4, 21, 56, 25, 1, 5
2023/8/5, 16, 45, 29, 2, 5
2023/8/6, 16, 62, 24, 2, 2
2023/8/7, 22, 42, 26, 3, 4
2023/8/8, 24, 37, 26, 1, 4
2023/8/9, 16, 38, 26, 1, 5
2023/8/10, 16, 62, 19, 1, 4
2023/8/11, 15, 53, 26, 4, 5
2023/8/12, 16, 103, 25, 2, 4
2023/8/13, 18, 74, 23, 1, 5
2023/8/14, 20, 73, 23, 1, 4
2023/8/15, 14, 51, 24, , 4
2023/8/16, 15, 37, 25, 1, 4
2023/8/17, 9, 46, 28, 4, 3
2023/8/18, 16, 53, 25, 4, 3
2023/8/19, 14, 52, 27, 1, 4
2023/8/20, 16, 112, 27, 1, 5
2023/8/21, 27, 49, 24, 1, 4
2023/8/22, 14, 79, 27, 1, 8
2023/8/23, 20, 39, 27, 4, 6
2023/8/24, 14, 39, 25, 2, 6
2023/8/25, 19, 32, 23, 1, 5
2023/8/26, 11, 47, 20, 1, 4
2023/8/27, 20, 54, 26, 4, 5
2023/8/28, 22, 66, 26, 5, 4
2023/8/29, 14, 68, 23, 3, 4
2023/8/30, 18, 51, 27, 2, 5
2023/8/31, 17, 67, 29, 3, 5
2023/9/1, 23, 81, 26, 3, 5
2023/9/2, 17, 42, 24, 3, 4
2023/9/3, 23, 49, 28, 1, 4
2023/9/4, 14, 70, 32, 1, 5
2023/9/5, 20, 73, 36, 2, 6
2023/9/6, 19, 48, 24, 1, 5
2023/9/7, 12, 57, 26, 1, 5
